"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000043591" -1.57614652900257 0.39587784000028 16.4808356952816 4.91443170938657e-05 0.00024334850018066 "ADRB1" "protein_coding"
"ENSG00000046774" 9.40990408626798 4.60122385217307 55.4271151926969 9.69892989681018e-14 2.11206271256213e-12 "MAGEC2" "protein_coding"
"ENSG00000047617" 3.11958512098986 3.69459618835622 60.0973781923154 9.02785173441445e-15 2.24773693971865e-13 "ANO2" "protein_coding"
"ENSG00000049089" 1.65254332260186 3.28011638423094 28.3609070256923 1.00677964231562e-07 8.53107091402883e-07 "COL9A2" "protein_coding"
"ENSG00000049247" 2.19636467577126 1.93705885453701 13.6018423224803 0.000225963660731929 0.000964683858429936 "UTS2" "protein_coding"
"ENSG00000051180" 2.25875594455482 5.02170965550084 127.312802065363 1.58684169407356e-29 2.04269291973632e-27 "RAD51" "protein_coding"
"ENSG00000051341" 3.12063844841392 4.79016469719447 168.0866298545 1.93677493310665e-38 5.094700496138e-36 "POLQ" "protein_coding"
"ENSG00000053108" 4.74565018670353 4.04330359384099 88.8206779318466 4.32273728118762e-21 2.37038800671287e-19 "FSTL4" "protein_coding"
"ENSG00000053438" 1.64529124960522 -0.497232594149847 14.0432896180224 0.000178650160333805 0.00078031277466941 "NNAT" "protein_coding"
"ENSG00000053524" 3.13867424482927 3.13369610975044 52.4357583316686 4.44555192159753e-13 8.69025203585956e-12 "MCF2L2" "protein_coding"
"ENSG00000054356" 2.57864978738952 -0.190571224884668 18.5055879000643 1.69406895169019e-05 9.27967361027701e-05 "PTPRN" "protein_coding"
"ENSG00000055118" 3.72336216705322 1.96152337194828 20.1676110450921 7.09440488495169e-06 4.18550287223519e-05 "KCNH2" "protein_coding"
"ENSG00000055732" 2.53979194860582 4.11170836025005 20.8445631804079 4.98104147423474e-06 3.03995942428035e-05 "MCOLN3" "protein_coding"
"ENSG00000056291" 7.25466901404665 3.36315056336428 41.9785173552852 9.22816935234376e-11 1.27421748063686e-09 "NPFFR2" "protein_coding"
"ENSG00000058335" 4.29326397666155 4.26730553418153 54.0701510383636 1.93457883735375e-13 4.01987100027353e-12 "RASGRF1" "protein_coding"
"ENSG00000058404" -1.7240667346909 5.20381321551749 32.5154467567415 1.1824892000265e-08 1.16740659369492e-07 "CAMK2B" "protein_coding"
"ENSG00000062524" -1.91545900569717 1.35575296410105 62.058957066213 3.33326764049893e-15 8.84509858316899e-14 "LTK" "protein_coding"
"ENSG00000064300" -2.27023211727705 4.56112606650421 115.642137141129 5.69289807626815e-27 5.70878157642569e-25 "NGFR" "protein_coding"
"ENSG00000064787" 2.44070223892982 5.17574561969503 31.8567918501305 1.65968314502475e-08 1.60490564324836e-07 "BCAS1" "protein_coding"
"ENSG00000065325" -2.4899787885075 2.60211193887121 55.4437250056353 9.61732167696556e-14 2.095548584607e-12 "GLP2R" "protein_coding"
"ENSG00000065328" 3.03522516337829 4.91204838133903 131.468020326108 1.95600189132805e-30 2.71010781133967e-28 "MCM10" "protein_coding"
"ENSG00000065609" 4.19238526684389 0.41714512639182 9.72108200459698 0.00182166239964989 0.00616965898149424 "SNAP91" "protein_coding"
"ENSG00000066230" 4.08190031246309 1.81926280079432 46.1414270655542 1.10017367846387e-11 1.74475337273556e-10 "SLC9A3" "protein_coding"
"ENSG00000066405" 5.03240045611717 2.94161893525345 38.0881970799867 6.76179274614622e-10 8.13589123227889e-09 "CLDN18" "protein_coding"
"ENSG00000068489" 2.52088538011325 6.13640426234832 124.047664869257 8.22440457028668e-29 9.91874120617864e-27 "PRR11" "protein_coding"
"ENSG00000069011" 5.80605684586098 2.85196739549769 59.3805211752176 1.29949011596052e-14 3.16383572766486e-13 "PITX1" "protein_coding"
"ENSG00000069018" 3.24230549730883 -0.80696582807529 13.6818135970557 0.000216541377903628 0.000928169625608642 "TRPC7" "protein_coding"
"ENSG00000069696" 1.9745825244734 0.952246885574155 32.9683033357791 9.36736823806167e-09 9.41952449888855e-08 "DRD4" "protein_coding"
"ENSG00000069812" 3.86210556131608 0.408388756336443 31.218944732594 2.30505567710326e-08 2.17396274706483e-07 "HES2" "protein_coding"
"ENSG00000070019" 4.53445946058988 5.0344955719682 45.3937796561854 1.61145356602641e-11 2.49137035350616e-10 "GUCY2C" "protein_coding"
"ENSG00000070388" 2.80905024346087 -0.79536215362807 22.0998436817551 2.58830820189891e-06 1.66918060112156e-05 "FGF22" "protein_coding"
"ENSG00000070669" 1.51590894944001 0.45423479488011 16.9162849132422 3.90649995243708e-05 0.000198058456387456 "ASNS" "protein_coding"
"ENSG00000070729" 2.86230640925612 2.57078399545126 16.0675315678342 6.11230888159241e-05 0.000296397174339682 "CNGB1" "protein_coding"
"ENSG00000070808" 1.83896181756142 3.08829036514426 12.8347276569017 0.000340244979100405 0.00138840298857057 "CAMK2A" "protein_coding"
"ENSG00000070882" 1.66194241495713 6.59893524808536 89.5750838438628 2.95218897852474e-21 1.65637422116579e-19 "OSBPL3" "protein_coding"
"ENSG00000071205" -1.54946155791721 6.40502085083731 96.92688920822 7.19350916406625e-23 4.79140506724347e-21 "ARHGAP10" "protein_coding"
"ENSG00000071539" 3.35566630008608 5.88137738418894 173.68862985309 1.15766311871158e-39 3.416612103443e-37 "TRIP13" "protein_coding"
"ENSG00000072071" 1.72191946179783 4.60090286495152 41.8591490544483 9.80907172998715e-11 1.34827380867196e-09 "ADGRL1" "protein_coding"
"ENSG00000072195" 1.66335334969478 1.51602577079938 10.1082615167212 0.0014760613635734 0.00513389897088032 "SPEG" "protein_coding"
"ENSG00000073067" 3.77124155652833 -0.38970651943556 32.5177749651517 1.18107344870649e-08 1.16632609525283e-07 "CYP2W1" "protein_coding"
"ENSG00000073111" 2.30796088838108 5.02804808595963 76.2684996306478 2.47602201474307e-18 9.42399543033031e-17 "MCM2" "protein_coding"
"ENSG00000073670" 3.12056398869092 0.464411473981165 47.3775261486238 5.85501274452446e-12 9.68745750405572e-11 "ADAM11" "protein_coding"
"ENSG00000074181" 1.97125262265052 6.82023744012071 93.7677253602229 3.54810416294242e-22 2.18304625794869e-20 "NOTCH3" "protein_coding"
"ENSG00000074211" 4.74399676133111 4.62784745797811 34.6870904858698 3.87190694899854e-09 4.14003222844171e-08 "PPP2R2C" "protein_coding"
"ENSG00000074276" -2.01780189602133 6.20881695017967 40.2923838210013 2.1865974061224e-10 2.84602626172998e-09 "CDHR2" "protein_coding"
"ENSG00000075218" 3.53677524507774 5.07444555446488 180.352993537761 4.05833520753193e-41 1.38982666385487e-38 "GTSE1" "protein_coding"
"ENSG00000075461" 4.10385815231029 3.3415304620275 24.2694651419808 8.37563518512002e-07 5.96047702127116e-06 "CACNG4" "protein_coding"
"ENSG00000075702" 2.49619555531292 3.99658147963479 144.730128839239 2.46015152143182e-33 4.31429760287423e-31 "WDR62" "protein_coding"
"ENSG00000077152" 3.20640906539339 6.17530144417999 245.686617623636 2.26374818204447e-55 3.91315822649506e-52 "UBE2T" "protein_coding"
"ENSG00000077264" 2.31831582576 4.00693298030317 16.4623328872091 4.96262900765602e-05 0.000245500675397821 "PAK3" "protein_coding"
"ENSG00000077279" 2.48273014454441 1.52078988136177 21.5256656616726 3.49124691242691e-06 2.18962947767811e-05 "DCX" "protein_coding"
"ENSG00000077327" 2.9701260656243 0.532403965504816 17.4894628519645 2.88904472906247e-05 0.00015048818009714 "SPAG6" "protein_coding"
"ENSG00000077498" 4.0963853768583 -0.613422682388025 9.13340948179862 0.00250983555638229 0.00821028571075369 "TYR" "protein_coding"
